Local authority code,Local authority name,MSOA code,MSOA name,1996_mean,1997_mean,1998_mean,1999_mean,2000_mean,2001_mean,2002_mean,2003_mean,2004_mean,2005_mean,2006_mean,2007_mean,2008_mean,2009_mean,2010_mean,2011_mean,2012_mean,2013_mean,2014_mean,2015_mean,2016_mean,2017_mean,2018_mean,2019_mean,2020_mean,2021_mean,2022_mean
E09000001,City of London,E02000001,City of London 001,"139,049","149,155","218,424","235,669","225,851","278,993","258,048",313896,"297,974","322,933","350,499","451,179","453,677","424,743","500,877","547,061","524,158","676,366","845,938","922,498","920,950","957,165","1,136,732","1,207,425","1,184,024","956,943",899199
E09000002,Barking and Dagenham,E02000002,Barking and Dagenham 001,"54,649","64,713","77,199","73,062","81,633","92,993","112,618",144921,"164,416","173,067","176,227","190,528","191,861","185,644","176,621","188,539","188,747","193,394","202,902","236,896","274,160","291,685","320,727","354,044","345,275","341,538",362318
E09000002,Barking and Dagenham,E02000003,Barking and Dagenham 002,"57,827","59,544","66,089","74,863","85,477","103,188","120,808",150571,"170,942","179,283","189,422","207,484","217,958","184,944","194,741","195,950","193,934","202,414","222,625","246,754","280,642","316,395","307,196","316,092","337,172","364,666",385402
E09000002,Barking and Dagenham,E02000004,Barking and Dagenham 003,"62,437","68,819","81,855","90,566","105,585","111,284","125,978",152685,"169,663","188,868","186,992","201,825","212,523","196,372","190,604","195,921","196,544","206,826","223,757","260,008","320,403","333,976","338,347","343,100","352,722","396,106",416176
E09000002,Barking and Dagenham,E02000005,Barking and Dagenham 004,"49,314","53,057","59,483","66,512","76,192","87,680","107,395",137024,"157,103","166,135","168,653","179,809","195,601","179,626","167,542","171,379","166,126","176,027","200,706","242,037","291,447","324,316","313,096","311,893","327,001","333,024",359187
E09000002,Barking and Dagenham,E02000007,Barking and Dagenham 006,"48,429","50,671","56,822","62,202","67,809","83,158","101,419",129375,"153,364","164,766","162,607","174,397","192,082","162,378","165,313","171,612","161,577","166,380","188,720","227,644","265,810","286,885","301,718","326,008","310,510","311,751",343292
E09000002,Barking and Dagenham,E02000008,Barking and Dagenham 007,"46,638","49,450","54,263","59,409","69,843","80,875","100,353",129313,"149,131","161,933","172,912","175,137","186,287","163,620","155,436","161,123","164,851","167,622","192,259","225,398","268,393","282,718","293,928","305,209","310,729","319,596",342264
E09000002,Barking and Dagenham,E02000009,Barking and Dagenham 008,"49,916","56,172","55,264","61,786","71,382","79,995","99,088",130506,"150,923","160,663","163,889","177,735","194,343","187,447","174,429","182,413","185,624","179,165","191,163","221,669","262,962","288,889","290,846","297,108","299,090","333,208",359215
E09000002,Barking and Dagenham,E02000010,Barking and Dagenham 009,"47,191","49,799","54,842","59,738","70,094","85,219","100,882",130583,"150,070","159,857","159,769","174,820","190,913","164,696","155,024","159,302","159,164","168,788","196,492","220,301","258,019","284,603","295,202","302,650","302,246","310,644",336859
E09000002,Barking and Dagenham,E02000011,Barking and Dagenham 010,"51,340","54,877","59,029","61,840","73,540","87,054","105,721",134396,"160,722","172,279","174,517","188,148","204,787","181,428","178,511","179,382","176,974","188,119","213,317","234,361","275,739","303,355","317,334","312,501","328,876","360,431",376797
