Local authority code,Local authority name,MSOA code,MSOA name,1996_med,1997_med,1998_med,1999_med,2000_med,2001_med,2002_med,2003_med,2004_med,2005_med,2006_med,2007_med,2008_med,2009_med,2010_med,2011_med,2012_med,2013_med,2014_med,2015_med,2016_med,2017_med,2018_med,2019_med,2020_med,2021_med,2022_med
E09000001,City of London,E02000001,City of London 001,"117,656","130,500","158,250","177,500","189,636","231,875","236,250","286,125","276,250","303,125","322,875","387,313","390,938","378,063","439,125","462,813","469,750","558,750","683,525","811,125","806,988","837,494","885,295","909,351","891,406","770,625",750417
E09000002,Barking and Dagenham,E02000002,Barking and Dagenham 001,"53,063","58,313","67,062","69,749","79,125","90,125","111,094","138,125","160,499","170,874","170,625","187,750","191,044","198,750","174,000","182,000","182,813","193,750","205,125","239,687","279,875","311,050","316,375","340,750","349,563","350,750",370833
E09000002,Barking and Dagenham,E02000003,Barking and Dagenham 002,"59,749","61,000","66,250","73,813","88,813","108,250","123,938","153,500","174,981","183,000","194,250","214,750","226,875","190,250","203,438","207,125","202,375","218,125","243,131","258,750","287,500","330,875","302,500","339,250","359,750","379,500",411667
E09000002,Barking and Dagenham,E02000004,Barking and Dagenham 003,"64,812","68,562","78,250","85,563","98,375","105,688","123,561","151,593","168,875","182,625","181,749","200,875","211,873","192,312","188,750","191,938","197,313","208,750","227,375","260,000","326,250","337,750","340,625","353,625","357,750","396,000",421167
E09000002,Barking and Dagenham,E02000005,Barking and Dagenham 004,"49,500","52,750","59,490","63,938","73,875","85,748","106,187","138,375","157,500","165,125","165,625","178,938","197,375","178,250","167,375","167,875","166,000","174,250","204,875","245,063","296,750","325,563","307,250","318,000","324,125","334,938",368667
E09000002,Barking and Dagenham,E02000007,Barking and Dagenham 006,"49,531","52,188","58,474","63,562","69,187","83,562","102,250","134,375","156,124","164,500","164,375","176,375","195,249","163,500","158,094","158,436","163,125","170,124","190,688","232,000","274,125","296,625","305,000","325,063","314,813","324,813",351667
E09000002,Barking and Dagenham,E02000008,Barking and Dagenham 007,"45,625","49,249","55,187","59,999","69,750","79,500","99,249","130,250","147,750","158,375","163,688","173,750","187,611","163,313","156,438","159,500","161,500","167,063","194,125","230,000","275,125","291,688","301,750","310,000","310,500","319,938",345000
E09000002,Barking and Dagenham,E02000009,Barking and Dagenham 008,"49,688","55,999","55,325","60,418","71,060","79,748","98,999","131,874","150,988","160,874","160,625","173,313","189,125","166,625","172,373","175,282","171,872","175,936","190,248","224,968","266,063","294,125","295,250","301,250","302,500","329,625",357500
E09000002,Barking and Dagenham,E02000010,Barking and Dagenham 009,"47,500","49,873","55,000","59,436","69,031","82,875","98,750","129,936","150,250","158,875","159,873","174,435","189,375","164,125","156,625","159,686","160,998","168,750","198,250","227,000","268,375","297,971","299,750","305,313","305,738","317,000",345000
E09000002,Barking and Dagenham,E02000011,Barking and Dagenham 010,"49,575","55,125","59,995","62,624","76,249","86,873","108,250","136,750","163,813","175,860","178,125","194,000","213,000","178,250","179,250","182,250","176,500","193,313","220,750","248,750","294,375","318,875","328,250","327,875","340,000","371,125",388333
E09000002,Barking and Dagenham,E02000012,Barking and Dagenham 011,"77,798","83,124","93,750","102,500","120,249","126,937","155,812","201,813","227,250","234,373","241,000","261,998","280,750","255,875","261,188","258,407","252,500","266,062","295,250","338,000","405,000","430,875","430,750","444,500","450,250","481,500",504333
E09000002,Barking and Dagenham,E02000013,Barking and Dagenham 012,"46,375","48,500","54,000","59,436","68,749","79,749","97,998","129,312","148,500","161,000","158,688","173,750","186,125","164,010","158,875","164,875","164,750","173,187","199,500","235,438","269,000","299,188","303,125","307,125","314,250","328,688",361667
E09000002,Barking and Dagenham,E02000014,Barking and Dagenham 013,"42,750","47,100","52,687","57,500","67,749","80,423","98,812","129,250","148,000","158,511","160,624","171,875","188,875","167,062","159,313","157,875","160,250","170,125","192,437","231,250","276,750","293,938","301,125","311,000","306,250","320,875",336667
E09000002,Barking and Dagenham,E02000015,Barking and Dagenham 014,"43,500","41,434","49,500","53,750","54,123","60,181","79,936","104,999","125,063","147,850","147,475","146,063","162,687","158,813","144,000","143,000","135,175","140,375","158,875","191,313","211,000","269,000","254,875","286,438","319,500","318,500",330500
E09000002,Barking and Dagenham,E02000016,Barking and Dagenham 015,"39,750","36,000","57,437","55,375","53,906","64,500","80,125","113,500","137,313","140,875","144,375","163,250","169,002","164,844","137,594","149,738","137,500","143,188","158,118","174,750","205,000","224,500","228,125","225,750","270,625","296,250",202000
E09000002,Barking and Dagenham,E02000017,Barking and Dagenham 016,"55,500","51,843","59,688","72,750","78,999","99,324","123,350","155,375","176,311","189,000","200,973","220,250","225,000","208,625","218,375","226,625","214,375","208,125","236,000","245,313","316,250","372,500","368,750","324,750","355,688","410,500",406500
E09000002,Barking and Dagenham,E02000018,Barking and Dagenham 017,"45,688","47,625","52,688","58,250","72,425","79,994","98,375","130,624","148,500","156,650","158,875","172,125","186,563","157,500","160,037","159,313","156,688","171,100","193,438","231,125","261,250","309,000","302,500","303,000","307,500","329,625",344333
E09000002,Barking and Dagenham,E02000019,Barking and Dagenham 018,"55,594","55,625","61,062","63,000","71,562","83,061","100,811","130,750","143,938","159,437","159,000","176,000","182,875","152,874","157,500","158,936","162,875","167,063","190,500","229,750","272,375","299,250","294,875","307,500","333,000","326,875",353167
E09000002,Barking and Dagenham,E02000020,Barking and Dagenham 019,"45,156","52,498","57,176","63,124","72,124","84,750","114,813","142,873","163,250","171,937","169,375","189,250","204,000","186,250","176,750","176,500","192,750","210,063","208,562","213,500","244,375","296,870","303,996","308,249","313,750","333,313",340000
