Local authority code,Local authority name,MSOA code,MSOA name,1996_mean,1997_mean,1998_mean,1999_mean,2000_mean,2001_mean,2002_mean,2003_mean,2004_mean,2005_mean,2006_mean,2007_mean,2008_mean,2009_mean,2010_mean,2011_mean,2012_mean,2013_mean,2014_mean,2015_mean,2016_mean,2017_mean,2018_mean,2019_mean,2020_mean,2021_mean,2022_mean,1996_med,1997_med,1998_med,1999_med,2000_med,2001_med,2002_med,2003_med,2004_med,2005_med,2006_med,2007_med,2008_med,2009_med,2010_med,2011_med,2012_med,2013_med,2014_med,2015_med,2016_med,2017_med,2018_med,2019_med,2020_med,2021_med,2022_med
E09000001,City of London,E02000001,City of London 001,139049,149155,218424,235669,225851,278993,258048,313896,297974,322933,350499,451179,453677,424743,500877,547061,524158,676366,845938,922498,920950,957165,1136732,1207425,1184024,956943,899199,117656,130500,158250,177500,189636,231875,236250,286125,276250,303125,322875,387313,390938,378063,439125,462813,469750,558750,683525,811125,806988,837494,885295,909351,891406,770625,750417
E09000002,Barking and Dagenham,E02000002,Barking and Dagenham 001,54649,64713,77199,73062,81633,92993,112618,144921,164416,173067,176227,190528,191861,185644,176621,188539,188747,193394,202902,236896,274160,291685,320727,354044,345275,341538,362318,53063,58313,67062,69749,79125,90125,111094,138125,160499,170874,170625,187750,191044,198750,174000,182000,182813,193750,205125,239687,279875,311050,316375,340750,349563,350750,370833
E09000002,Barking and Dagenham,E02000003,Barking and Dagenham 002,57827,59544,66089,74863,85477,103188,120808,150571,170942,179283,189422,207484,217958,184944,194741,195950,193934,202414,222625,246754,280642,316395,307196,316092,337172,364666,385402,59749,61000,66250,73813,88813,108250,123938,153500,174981,183000,194250,214750,226875,190250,203438,207125,202375,218125,243131,258750,287500,330875,302500,339250,359750,379500,411667
E09000002,Barking and Dagenham,E02000004,Barking and Dagenham 003,62437,68819,81855,90566,105585,111284,125978,152685,169663,188868,186992,201825,212523,196372,190604,195921,196544,206826,223757,260008,320403,333976,338347,343100,352722,396106,416176,64812,68562,78250,85563,98375,105688,123561,151593,168875,182625,181749,200875,211873,192312,188750,191938,197313,208750,227375,260000,326250,337750,340625,353625,357750,396000,421167
E09000002,Barking and Dagenham,E02000005,Barking and Dagenham 004,49314,53057,59483,66512,76192,87680,107395,137024,157103,166135,168653,179809,195601,179626,167542,171379,166126,176027,200706,242037,291447,324316,313096,311893,327001,333024,359187,49500,52750,59490,63938,73875,85748,106187,138375,157500,165125,165625,178938,197375,178250,167375,167875,166000,174250,204875,245063,296750,325563,307250,318000,324125,334938,368667
E09000002,Barking and Dagenham,E02000007,Barking and Dagenham 006,48429,50671,56822,62202,67809,83158,101419,129375,153364,164766,162607,174397,192082,162378,165313,171612,161577,166380,188720,227644,265810,286885,301718,326008,310510,311751,343292,49531,52188,58474,63562,69187,83562,102250,134375,156124,164500,164375,176375,195249,163500,158094,158436,163125,170124,190688,232000,274125,296625,305000,325063,314813,324813,351667
E09000002,Barking and Dagenham,E02000008,Barking and Dagenham 007,46638,49450,54263,59409,69843,80875,100353,129313,149131,161933,172912,175137,186287,163620,155436,161123,164851,167622,192259,225398,268393,282718,293928,305209,310729,319596,342264,45625,49249,55187,59999,69750,79500,99249,130250,147750,158375,163688,173750,187611,163313,156438,159500,161500,167063,194125,230000,275125,291688,301750,310000,310500,319938,345000
E09000002,Barking and Dagenham,E02000009,Barking and Dagenham 008,49916,56172,55264,61786,71382,79995,99088,130506,150923,160663,163889,177735,194343,187447,174429,182413,185624,179165,191163,221669,262962,288889,290846,297108,299090,333208,359215,49688,55999,55325,60418,71060,79748,98999,131874,150988,160874,160625,173313,189125,166625,172373,175282,171872,175936,190248,224968,266063,294125,295250,301250,302500,329625,357500
E09000002,Barking and Dagenham,E02000010,Barking and Dagenham 009,47191,49799,54842,59738,70094,85219,100882,130583,150070,159857,159769,174820,190913,164696,155024,159302,159164,168788,196492,220301,258019,284603,295202,302650,302246,310644,336859,47500,49873,55000,59436,69031,82875,98750,129936,150250,158875,159873,174435,189375,164125,156625,159686,160998,168750,198250,227000,268375,297971,299750,305313,305738,317000,345000
E09000002,Barking and Dagenham,E02000011,Barking and Dagenham 010,51340,54877,59029,61840,73540,87054,105721,134396,160722,172279,174517,188148,204787,181428,178511,179382,176974,188119,213317,234361,275739,303355,317334,312501,328876,360431,376797,49575,55125,59995,62624,76249,86873,108250,136750,163813,175860,178125,194000,213000,178250,179250,182250,176500,193313,220750,248750,294375,318875,328250,327875,340000,371125,388333
E09000002,Barking and Dagenham,E02000012,Barking and Dagenham 011,78269,86420,96184,100883,117119,125634,155733,198797,220126,229853,236843,261269,273675,255234,261360,256753,257902,262453,291531,324341,381384,416189,418915,437175,430866,462852,489378,77798,83124,93750,102500,120249,126937,155812,201813,227250,234373,241000,261998,280750,255875,261188,258407,252500,266062,295250,338000,405000,430875,430750,444500,450250,481500,504333
E09000002,Barking and Dagenham,E02000013,Barking and Dagenham 012,47817,49612,55604,62618,71473,82731,99685,128704,150311,164570,162950,177402,193328,171757,165220,172820,174313,175980,203521,230866,264039,302290,301766,302021,308500,328213,367479,46375,48500,54000,59436,68749,79749,97998,129312,148500,161000,158688,173750,186125,164010,158875,164875,164750,173187,199500,235438,269000,299188,303125,307125,314250,328688,361667
E09000002,Barking and Dagenham,E02000014,Barking and Dagenham 013,42632,47488,53423,59190,67899,81456,100516,128921,150182,160932,162079,173700,190690,170308,159564,157931,163182,172880,191428,226147,274120,288886,294216,312710,303050,325905,339802,42750,47100,52687,57500,67749,80423,98812,129250,148000,158511,160624,171875,188875,167062,159313,157875,160250,170125,192437,231250,276750,293938,301125,311000,306250,320875,336667
E09000002,Barking and Dagenham,E02000015,Barking and Dagenham 014,42743,42170,53339,60486,60262,67282,86329,110097,132215,146114,149596,153039,169796,157443,139508,146201,141971,148236,167245,201034,225784,262995,252754,275062,303089,309724,311889,43500,41434,49500,53750,54123,60181,79936,104999,125063,147850,147475,146063,162687,158813,144000,143000,135175,140375,158875,191313,211000,269000,254875,286438,319500,318500,330500
E09000002,Barking and Dagenham,E02000016,Barking and Dagenham 015,45281,42053,54832,55071,63310,77564,87561,120847,141179,151121,153831,169867,177123,164272,147296,158896,145316,158283,167186,187029,207867,225826,232665,238801,275684,291004,231211,39750,36000,57437,55375,53906,64500,80125,113500,137313,140875,144375,163250,169002,164844,137594,149738,137500,143188,158118,174750,205000,224500,228125,225750,270625,296250,202000
E09000002,Barking and Dagenham,E02000017,Barking and Dagenham 016,56210,55379,63627,75664,83226,99635,122064,153436,174526,188734,196343,209333,216469,205047,210076,222521,206072,206727,232104,242208,301452,338901,351629,318392,338616,382971,376845,55500,51843,59688,72750,78999,99324,123350,155375,176311,189000,200973,220250,225000,208625,218375,226625,214375,208125,236000,245313,316250,372500,368750,324750,355688,410500,406500
E09000002,Barking and Dagenham,E02000018,Barking and Dagenham 017,44847,47945,52122,57759,76820,83146,99634,129746,147965,159124,162348,172996,189940,163470,162981,163900,156315,166383,191113,225699,266581,324857,299917,303054,302886,326777,332587,45688,47625,52688,58250,72425,79994,98375,130624,148500,156650,158875,172125,186563,157500,160037,159313,156688,171100,193438,231125,261250,309000,302500,303000,307500,329625,344333
E09000002,Barking and Dagenham,E02000019,Barking and Dagenham 018,53574,56344,63884,68694,74594,84108,101592,130668,143639,160172,162448,184690,185738,155265,160881,161095,164077,166851,190399,226611,266518,293019,291817,303635,351880,336900,349896,55594,55625,61062,63000,71562,83061,100811,130750,143938,159437,159000,176000,182875,152874,157500,158936,162875,167063,190500,229750,272375,299250,294875,307500,333000,326875,353167
E09000002,Barking and Dagenham,E02000020,Barking and Dagenham 019,44891,50396,55822,63423,71415,85759,115165,143770,160996,171556,174191,191719,205758,186077,178494,174354,188105,201566,205461,213646,252496,290218,298225,304320,310989,335294,334788,45156,52498,57176,63124,72124,84750,114813,142873,163250,171937,169375,189250,204000,186250,176750,176500,192750,210063,208562,213500,244375,296870,303996,308249,313750,333313,340000
E09000002,Barking and Dagenham,E02000021,Barking and Dagenham 020,41897,43926,49600,55330,65032,74835,92321,121994,141269,153590,157199,168568,184785,158218,152822,157198,156476,160492,184383,213610,249122,277242,283406,288811,291682,308171,324356,43249,45500,52125,58488,66686,77217,93625,126248,143750,154750,158375,170500,183688,156813,152875,154500,156125,164000,188125,219438,258500,286500,286625,293938,295688,314125,332358
E09000002,Barking and Dagenham,E02000022,Barking and Dagenham 021,31983,32282,36309,47244,59443,81072,81317,118416,158635,151297,138552,165480,193737,154630,131093,133045,132543,137356,155303,185559,213271,233646,281883,287651,242352,301356,293740,29624,30325,33688,39962,52438,85356,77000,116780,168313,153123,132375,157500,188125,156875,137375,134875,133750,134250,155125,187500,213575,240063,293374,311250,245125,310750,295000
E09000002,Barking and Dagenham,E02000023,Barking and Dagenham 022,46039,50881,49835,54616,72502,88239,97204,119768,141421,151348,154692,159275,169494,174978,159413,164410,161201,151639,184502,222454,224287,249414,285266,306502,357935,305460,281856,47769,50288,52431,57748,70188,87188,100363,116375,143561,141061,149375,153250,159250,171375,159250,166813,168094,155500,188750,244372,233000,225313,286375,314123,359249,316375,282998
E09000003,Barnet,E02000024,Barnet 001,122250,137538,155017,173433,208888,214348,273487,312673,289000,327693,339758,368753,387407,409628,388196,404650,435274,432374,502572,527963,551061,582323,592556,628976,624060,716366,733458,102030,115750,128813,142366,177613,186856,223313,249988,253000,279375,300500,327629,343250,324838,342363,350981,380375,373125,421875,496238,532625,539375,559375,573750,617375,661125,690000
