Local authority code,Local authority name,MSOA code,MSOA name,1996_mean,1997_mean,1998_mean,1999_mean,2000_mean,2001_mean,2002_mean,2003_mean,2004_mean,2005_mean,2006_mean,2007_mean,2008_mean,2009_mean,2010_mean,2011_mean,2012_mean,2013_mean,2014_mean,2015_mean,2016_mean,2017_mean,2018_mean,2019_mean,2020_mean,2021_mean,2022_mean,1996_med,1997_med,1998_med,1999_med,2000_med,2001_med,2002_med,2003_med,2004_med,2005_med,2006_med,2007_med,2008_med,2009_med,2010_med,2011_med,2012_med,2013_med,2014_med,2015_med,2016_med,2017_med,2018_med,2019_med,2020_med,2021_med,2022_med
E09000001,City of London,E02000001,City of London 001,"139,049","149,155","218,424","235,669","225,851","278,993","258,048",313896,"297,974","322,933","350,499","451,179","453,677","424,743","500,877","547,061","524,158","676,366","845,938","922,498","920,950","957,165","1,136,732","1,207,425","1,184,024","956,943",899199,"117,656","130,500","158,250","177,500","189,636","231,875","236,250","286,125","276,250","303,125","322,875","387,313","390,938","378,063","439,125","462,813","469,750","558,750","683,525","811,125","806,988","837,494","885,295","909,351","891,406","770,625",750417
E09000002,Barking and Dagenham,E02000002,Barking and Dagenham 001,"54,649","64,713","77,199","73,062","81,633","92,993","112,618",144921,"164,416","173,067","176,227","190,528","191,861","185,644","176,621","188,539","188,747","193,394","202,902","236,896","274,160","291,685","320,727","354,044","345,275","341,538",362318,"53,063","58,313","67,062","69,749","79,125","90,125","111,094","138,125","160,499","170,874","170,625","187,750","191,044","198,750","174,000","182,000","182,813","193,750","205,125","239,687","279,875","311,050","316,375","340,750","349,563","350,750",370833
E09000002,Barking and Dagenham,E02000003,Barking and Dagenham 002,"57,827","59,544","66,089","74,863","85,477","103,188","120,808",150571,"170,942","179,283","189,422","207,484","217,958","184,944","194,741","195,950","193,934","202,414","222,625","246,754","280,642","316,395","307,196","316,092","337,172","364,666",385402,"59,749","61,000","66,250","73,813","88,813","108,250","123,938","153,500","174,981","183,000","194,250","214,750","226,875","190,250","203,438","207,125","202,375","218,125","243,131","258,750","287,500","330,875","302,500","339,250","359,750","379,500",411667
E09000002,Barking and Dagenham,E02000004,Barking and Dagenham 003,"62,437","68,819","81,855","90,566","105,585","111,284","125,978",152685,"169,663","188,868","186,992","201,825","212,523","196,372","190,604","195,921","196,544","206,826","223,757","260,008","320,403","333,976","338,347","343,100","352,722","396,106",416176,"64,812","68,562","78,250","85,563","98,375","105,688","123,561","151,593","168,875","182,625","181,749","200,875","211,873","192,312","188,750","191,938","197,313","208,750","227,375","260,000","326,250","337,750","340,625","353,625","357,750","396,000",421167
E09000002,Barking and Dagenham,E02000005,Barking and Dagenham 004,"49,314","53,057","59,483","66,512","76,192","87,680","107,395",137024,"157,103","166,135","168,653","179,809","195,601","179,626","167,542","171,379","166,126","176,027","200,706","242,037","291,447","324,316","313,096","311,893","327,001","333,024",359187,"49,500","52,750","59,490","63,938","73,875","85,748","106,187","138,375","157,500","165,125","165,625","178,938","197,375","178,250","167,375","167,875","166,000","174,250","204,875","245,063","296,750","325,563","307,250","318,000","324,125","334,938",368667
E09000002,Barking and Dagenham,E02000007,Barking and Dagenham 006,"48,429","50,671","56,822","62,202","67,809","83,158","101,419",129375,"153,364","164,766","162,607","174,397","192,082","162,378","165,313","171,612","161,577","166,380","188,720","227,644","265,810","286,885","301,718","326,008","310,510","311,751",343292,"49,531","52,188","58,474","63,562","69,187","83,562","102,250","134,375","156,124","164,500","164,375","176,375","195,249","163,500","158,094","158,436","163,125","170,124","190,688","232,000","274,125","296,625","305,000","325,063","314,813","324,813",351667
E09000002,Barking and Dagenham,E02000008,Barking and Dagenham 007,"46,638","49,450","54,263","59,409","69,843","80,875","100,353",129313,"149,131","161,933","172,912","175,137","186,287","163,620","155,436","161,123","164,851","167,622","192,259","225,398","268,393","282,718","293,928","305,209","310,729","319,596",342264,"45,625","49,249","55,187","59,999","69,750","79,500","99,249","130,250","147,750","158,375","163,688","173,750","187,611","163,313","156,438","159,500","161,500","167,063","194,125","230,000","275,125","291,688","301,750","310,000","310,500","319,938",345000
E09000002,Barking and Dagenham,E02000009,Barking and Dagenham 008,"49,916","56,172","55,264","61,786","71,382","79,995","99,088",130506,"150,923","160,663","163,889","177,735","194,343","187,447","174,429","182,413","185,624","179,165","191,163","221,669","262,962","288,889","290,846","297,108","299,090","333,208",359215,"49,688","55,999","55,325","60,418","71,060","79,748","98,999","131,874","150,988","160,874","160,625","173,313","189,125","166,625","172,373","175,282","171,872","175,936","190,248","224,968","266,063","294,125","295,250","301,250","302,500","329,625",357500
E09000002,Barking and Dagenham,E02000010,Barking and Dagenham 009,"47,191","49,799","54,842","59,738","70,094","85,219","100,882",130583,"150,070","159,857","159,769","174,820","190,913","164,696","155,024","159,302","159,164","168,788","196,492","220,301","258,019","284,603","295,202","302,650","302,246","310,644",336859,"47,500","49,873","55,000","59,436","69,031","82,875","98,750","129,936","150,250","158,875","159,873","174,435","189,375","164,125","156,625","159,686","160,998","168,750","198,250","227,000","268,375","297,971","299,750","305,313","305,738","317,000",345000
E09000002,Barking and Dagenham,E02000011,Barking and Dagenham 010,"51,340","54,877","59,029","61,840","73,540","87,054","105,721",134396,"160,722","172,279","174,517","188,148","204,787","181,428","178,511","179,382","176,974","188,119","213,317","234,361","275,739","303,355","317,334","312,501","328,876","360,431",376797,"49,575","55,125","59,995","62,624","76,249","86,873","108,250","136,750","163,813","175,860","178,125","194,000","213,000","178,250","179,250","182,250","176,500","193,313","220,750","248,750","294,375","318,875","328,250","327,875","340,000","371,125",388333
E09000002,Barking and Dagenham,E02000012,Barking and Dagenham 011,"78,269","86,420","96,184","100,883","117,119","125,634","155,733",198797,"220,126","229,853","236,843","261,269","273,675","255,234","261,360","256,753","257,902","262,453","291,531","324,341","381,384","416,189","418,915","437,175","430,866","462,852",489378,"77,798","83,124","93,750","102,500","120,249","126,937","155,812","201,813","227,250","234,373","241,000","261,998","280,750","255,875","261,188","258,407","252,500","266,062","295,250","338,000","405,000","430,875","430,750","444,500","450,250","481,500",504333
E09000002,Barking and Dagenham,E02000013,Barking and Dagenham 012,"47,817","49,612","55,604","62,618","71,473","82,731","99,685",128704,"150,311","164,570","162,950","177,402","193,328","171,757","165,220","172,820","174,313","175,980","203,521","230,866","264,039","302,290","301,766","302,021","308,500","328,213",367479,"46,375","48,500","54,000","59,436","68,749","79,749","97,998","129,312","148,500","161,000","158,688","173,750","186,125","164,010","158,875","164,875","164,750","173,187","199,500","235,438","269,000","299,188","303,125","307,125","314,250","328,688",361667
E09000002,Barking and Dagenham,E02000014,Barking and Dagenham 013,"42,632","47,488","53,423","59,190","67,899","81,456","100,516",128921,"150,182","160,932","162,079","173,700","190,690","170,308","159,564","157,931","163,182","172,880","191,428","226,147","274,120","288,886","294,216","312,710","303,050","325,905",339802,"42,750","47,100","52,687","57,500","67,749","80,423","98,812","129,250","148,000","158,511","160,624","171,875","188,875","167,062","159,313","157,875","160,250","170,125","192,437","231,250","276,750","293,938","301,125","311,000","306,250","320,875",336667
E09000002,Barking and Dagenham,E02000015,Barking and Dagenham 014,"42,743","42,170","53,339","60,486","60,262","67,282","86,329",110097,"132,215","146,114","149,596","153,039","169,796","157,443","139,508","146,201","141,971","148,236","167,245","201,034","225,784","262,995","252,754","275,062","303,089","309,724",311889,"43,500","41,434","49,500","53,750","54,123","60,181","79,936","104,999","125,063","147,850","147,475","146,063","162,687","158,813","144,000","143,000","135,175","140,375","158,875","191,313","211,000","269,000","254,875","286,438","319,500","318,500",330500
E09000002,Barking and Dagenham,E02000016,Barking and Dagenham 015,"45,281","42,053","54,832","55,071","63,310","77,564","87,561",120847,"141,179","151,121","153,831","169,867","177,123","164,272","147,296","158,896","145,316","158,283","167,186","187,029","207,867","225,826","232,665","238,801","275,684","291,004",231211,"39,750","36,000","57,437","55,375","53,906","64,500","80,125","113,500","137,313","140,875","144,375","163,250","169,002","164,844","137,594","149,738","137,500","143,188","158,118","174,750","205,000","224,500","228,125","225,750","270,625","296,250",202000
E09000002,Barking and Dagenham,E02000017,Barking and Dagenham 016,"56,210","55,379","63,627","75,664","83,226","99,635","122,064",153436,"174,526","188,734","196,343","209,333","216,469","205,047","210,076","222,521","206,072","206,727","232,104","242,208","301,452","338,901","351,629","318,392","338,616","382,971",376845,"55,500","51,843","59,688","72,750","78,999","99,324","123,350","155,375","176,311","189,000","200,973","220,250","225,000","208,625","218,375","226,625","214,375","208,125","236,000","245,313","316,250","372,500","368,750","324,750","355,688","410,500",406500
E09000002,Barking and Dagenham,E02000018,Barking and Dagenham 017,"44,847","47,945","52,122","57,759","76,820","83,146","99,634",129746,"147,965","159,124","162,348","172,996","189,940","163,470","162,981","163,900","156,315","166,383","191,113","225,699","266,581","324,857","299,917","303,054","302,886","326,777",332587,"45,688","47,625","52,688","58,250","72,425","79,994","98,375","130,624","148,500","156,650","158,875","172,125","186,563","157,500","160,037","159,313","156,688","171,100","193,438","231,125","261,250","309,000","302,500","303,000","307,500","329,625",344333
E09000002,Barking and Dagenham,E02000019,Barking and Dagenham 018,"53,574","56,344","63,884","68,694","74,594","84,108","101,592",130668,"143,639","160,172","162,448","184,690","185,738","155,265","160,881","161,095","164,077","166,851","190,399","226,611","266,518","293,019","291,817","303,635","351,880","336,900",349896,"55,594","55,625","61,062","63,000","71,562","83,061","100,811","130,750","143,938","159,437","159,000","176,000","182,875","152,874","157,500","158,936","162,875","167,063","190,500","229,750","272,375","299,250","294,875","307,500","333,000","326,875",353167
