MSOA_code,MSOA_name,Local_authority_code,Local_authority_name,Mean_2001/02,Mean_2002/03,Mean_2003/04,Mean_2004/05,Mean_2005/06,Mean_2006/07,Mean_2007/08,Mean_2008/09,Mean_2009/10,Mean_2010/11,Mean_2011/12,Mean_2012/13,Median_2001/02,Median_2002/03,Median_2003/04,Median_2004/05,Median_2005/06,Median_2006/07,Median_2007/08,Median_2008/09,Median_2009/10,Median_2010/11,Median_2011/12,Median_2012/13
E02000001,City of London 001,E09000001,City of London,65120 ,66410 ,69800 ,74510 ,76200 ,81300 ,83050 ,89340 ,89680 ,93380 ,97030 ,99390 ,42720 ,43620 ,45150 ,48070 ,48380 ,51410 ,53110 ,54960 ,57520 ,59240 ,62290 ,63620 
E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,24900 ,25210 ,26370 ,28050 ,28630 ,30520 ,31170 ,33550 ,33710 ,35140 ,36550 ,37490 ,22050 ,22380 ,23080 ,24510 ,24640 ,26180 ,27060 ,28030 ,29380 ,30310 ,31920 ,32660 
E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,30120 ,30420 ,31700 ,33610 ,34170 ,36270 ,36890 ,39530 ,39550 ,41050 ,42530 ,43440 ,26800 ,27140 ,27880 ,29500 ,29540 ,31250 ,32160 ,33160 ,34610 ,35540 ,37270 ,37970 
E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,30700 ,31010 ,32330 ,34280 ,34850 ,37010 ,37640 ,40350 ,40370 ,41910 ,43430 ,44370 ,27300 ,27650 ,28420 ,30070 ,30120 ,31870 ,32800 ,33830 ,35310 ,36270 ,38040 ,38770 
E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,26280 ,26670 ,27930 ,29740 ,30380 ,32400 ,33090 ,35610 ,35760 ,37260 ,38740 ,39710 ,23350 ,23760 ,24530 ,26080 ,26240 ,27880 ,28820 ,29840 ,31270 ,32240 ,33930 ,34690 
E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,24300 ,24640 ,25790 ,27470 ,28060 ,29930 ,30580 ,32920 ,33080 ,34480 ,35870 ,36790 ,21470 ,21830 ,22530 ,23960 ,24110 ,25630 ,26510 ,27460 ,28790 ,29700 ,31280 ,32000 
E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,24220 ,24590 ,25780 ,27480 ,28100 ,30010 ,30690 ,33070 ,33260 ,34710 ,36140 ,37100 ,21400 ,21780 ,22510 ,23970 ,24140 ,25700 ,26610 ,27600 ,28960 ,29910 ,31540 ,32300 
E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,25480 ,25790 ,26940 ,28630 ,29190 ,31080 ,31700 ,34070 ,34180 ,35570 ,36960 ,37860 ,22600 ,22930 ,23620 ,25050 ,25160 ,26690 ,27540 ,28490 ,29810 ,30710 ,32300 ,33000 
E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,24420 ,24810 ,26020 ,27760 ,28410 ,30340 ,31050 ,33470 ,33670 ,35130 ,36590 ,37560 ,21590 ,22000 ,22750 ,24230 ,24430 ,26010 ,26940 ,27950 ,29340 ,30300 ,31950 ,32720 
E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,27840 ,28240 ,29560 ,31470 ,32130 ,34250 ,34970 ,37620 ,37770 ,39340 ,40890 ,41900 ,24780 ,25200 ,26010 ,27640 ,27790 ,29520 ,30500 ,31570 ,33060 ,34070 ,35850 ,36640 
E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,34230 ,34340 ,35570 ,37470 ,37880 ,40010 ,40500 ,43220 ,43070 ,44560 ,46020 ,46880 ,30260 ,30460 ,31120 ,32740 ,32610 ,34330 ,35180 ,36140 ,37580 ,38470 ,40230 ,40880 
E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,24220 ,24630 ,25860 ,27610 ,28280 ,30250 ,30980 ,33440 ,33680 ,35200 ,36700 ,37730 ,21400 ,21820 ,22590 ,24090 ,24320 ,25920 ,26880 ,27930 ,29360 ,30360 ,32060 ,32880 
E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,24450 ,24830 ,26040 ,27770 ,28410 ,30350 ,31050 ,33470 ,33670 ,35140 ,36610 ,37590 ,21620 ,22020 ,22770 ,24240 ,24430 ,26010 ,26940 ,27950 ,29350 ,30320 ,31970 ,32750 
E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,23810 ,24090 ,25170 ,26760 ,27300 ,29080 ,29690 ,31940 ,32080 ,33430 ,34770 ,35660 ,20990 ,21290 ,21930 ,23280 ,23390 ,24830 ,25660 ,26570 ,27840 ,28710 ,30240 ,30940 
