MSOA_code,MSOA_name,Local_authority_code,Local_authority_name,2012_annual,2014_annual,2016_annual,2018_annual
E02000001,City of London 001,E09000001,City of London,65000,65000,79700,65400
E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,32760,34320,38600,39000
E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,40560,39000,46400,47800
E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,38480,40560,45300,43700
E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,37440,35360,41000,44900
E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,33800,32240,36200,38000
E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,32760,32760,35600,40900
E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,34320,35880,37800,42300
E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,34320,36920,39500,40000
E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,40040,37440,43500,45000
E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,44720,44200,50800,46700
E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,36400,36920,39100,39400
E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,34320,34320,38100,39900
E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,32760,32240,38800,36400
E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,39000,33800,41400,48600
E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,42120,41600,49100,49900
E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,34840,33280,35800,39500
E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,37960,38480,40100,42200
E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,34320,33800,40700,42500
E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,36400,35360,38800,42300
E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,32240,29640,34100,44200
E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,34840,31200,35400,42300
E02000024,Barnet 001,E09000003,Barnet,54600,58760,63400,60200
E02000025,Barnet 002,E09000003,Barnet,46800,51480,49900,55400
E02000026,Barnet 003,E09000003,Barnet,50960,54080,54700,54900
E02000027,Barnet 004,E09000003,Barnet,41600,42640,47000,50100
E02000028,Barnet 005,E09000003,Barnet,55120,60840,55500,61700
E02000029,Barnet 006,E09000003,Barnet,47840,48360,48200,55500
E02000030,Barnet 007,E09000003,Barnet,53040,57720,59400,58000
E02000031,Barnet 008,E09000003,Barnet,53560,56160,56400,58400
E02000032,Barnet 009,E09000003,Barnet,56160,55640,56000,59600
E02000033,Barnet 010,E09000003,Barnet,43680,46800,48600,51100
E02000034,Barnet 011,E09000003,Barnet,49920,49920,51100,52200
E02000035,Barnet 012,E09000003,Barnet,48360,52000,52100,54500
E02000036,Barnet 013,E09000003,Barnet,49920,49920,49700,53800
E02000037,Barnet 014,E09000003,Barnet,53040,54080,55900,56300
E02000038,Barnet 015,E09000003,Barnet,47840,53040,55000,54300
E02000039,Barnet 016,E09000003,Barnet,59280,61360,63000,67000
E02000040,Barnet 017,E09000003,Barnet,47320,49400,55100,55000
E02000041,Barnet 018,E09000003,Barnet,46280,49920,47600,51300
E02000042,Barnet 019,E09000003,Barnet,45240,52000,50900,51100
E02000043,Barnet 020,E09000003,Barnet,66560,70720,69600,65800
E02000044,Barnet 021,E09000003,Barnet,42640,47320,48900,49400
E02000045,Barnet 022,E09000003,Barnet,44200,46800,48900,49800
E02000046,Barnet 023,E09000003,Barnet,54600,57200,55500,60600
E02000047,Barnet 024,E09000003,Barnet,35360,39000,44400,43800
E02000048,Barnet 025,E09000003,Barnet,57720,56680,55000,58700
E02000049,Barnet 026,E09000003,Barnet,35360,35880,36100,43400
E02000050,Barnet 027,E09000003,Barnet,47840,51480,50000,53100
E02000051,Barnet 028,E09000003,Barnet,52520,54080,51200,58600
E02000052,Barnet 029,E09000003,Barnet,52520,58240,60700,58600
E02000053,Barnet 030,E09000003,Barnet,42120,44720,47900,51100
E02000054,Barnet 031,E09000003,Barnet,49400,54600,52500,57000
E02000055,Barnet 032,E09000003,Barnet,45240,48360,48800,50400
E02000056,Barnet 033,E09000003,Barnet,67600,67080,82600,71600
E02000057,Barnet 034,E09000003,Barnet,54600,56680,53700,54400
E02000058,Barnet 035,E09000003,Barnet,62400,61360,57700,58800
E02000059,Barnet 036,E09000003,Barnet,36400,40560,44100,46900
E02000060,Barnet 037,E09000003,Barnet,55120,53040,48800,49600
E02000061,Barnet 038,E09000003,Barnet,59280,63960,55900,65500
E02000062,Barnet 039,E09000003,Barnet,40040,44720,40500,45400
E02000063,Barnet 040,E09000003,Barnet,46280,49400,46300,54200
E02000064,Barnet 041,E09000003,Barnet,43160,45240,45500,50100
E02000065,Bexley 001,E09000004,Bexley,47320,41600,44100,49800
E02000066,Bexley 002,E09000004,Bexley,35360,36400,37700,41400
E02000067,Bexley 003,E09000004,Bexley,37960,39520,41000,45700
E02000068,Bexley 004,E09000004,Bexley,39000,37960,40900,45100
E02000069,Bexley 005,E09000004,Bexley,40040,42120,44100,45800
E02000070,Bexley 006,E09000004,Bexley,44200,46280,50900,50100
E02000071,Bexley 007,E09000004,Bexley,42640,47840,46800,51300
E02000072,Bexley 008,E09000004,Bexley,35880,35360,40000,44200
E02000073,Bexley 009,E09000004,Bexley,47320,51480,57900,57600
E02000074,Bexley 010,E09000004,Bexley,35360,37960,39900,44900
E02000075,Bexley 011,E09000004,Bexley,44720,52000,51000,53500
E02000077,Bexley 013,E09000004,Bexley,44200,46800,53000,51300
E02000078,Bexley 014,E09000004,Bexley,47320,52520,52000,55200
E02000079,Bexley 015,E09000004,Bexley,44200,49920,48500,49900
E02000080,Bexley 016,E09000004,Bexley,42640,46280,48400,50600
E02000081,Bexley 017,E09000004,Bexley,41600,46280,48200,51400
E02000082,Bexley 018,E09000004,Bexley,46800,52000,54500,58700
E02000083,Bexley 019,E09000004,Bexley,41080,42120,44700,49600
E02000084,Bexley 020,E09000004,Bexley,47840,52520,55900,54000
E02000085,Bexley 021,E09000004,Bexley,44720,48360,51700,51000
E02000086,Bexley 022,E09000004,Bexley,50440,54600,55700,56500
E02000087,Bexley 023,E09000004,Bexley,50960,56160,58100,61700
E02000088,Bexley 024,E09000004,Bexley,47840,54080,60900,59400
E02000089,Bexley 025,E09000004,Bexley,47840,53560,59600,59300
E02000090,Bexley 026,E09000004,Bexley,40040,44720,50000,48100
E02000091,Bexley 027,E09000004,Bexley,42640,47840,48700,50500
E02000092,Bexley 028,E09000004,Bexley,40040,41080,42700,43600
E02000093,Brent 001,E09000005,Brent,45760,46280,50800,50200
E02000094,Brent 002,E09000005,Brent,45760,47320,47900,48300
E02000095,Brent 003,E09000005,Brent,43160,45240,50000,50900
E02000096,Brent 004,E09000005,Brent,55640,58760,55800,60700
E02000097,Brent 005,E09000005,Brent,42120,45240,48400,50000
E02000098,Brent 006,E09000005,Brent,47840,46800,46500,47800
E02000099,Brent 007,E09000005,Brent,49920,49400,49200,57200
E02000100,Brent 008,E09000005,Brent,55120,60320,53800,61900
E02000101,Brent 009,E09000005,Brent,37960,40040,39800,47200
E02000102,Brent 010,E09000005,Brent,38480,38480,41900,43400
E02000103,Brent 011,E09000005,Brent,39520,40040,41900,45900
E02000104,Brent 012,E09000005,Brent,43160,46280,47500,50800
E02000105,Brent 013,E09000005,Brent,44200,44720,48400,50600
