MSOA11CD,2002pop,2003pop,2004pop,2005pop,2006pop,2007pop,2008pop,2009pop,2010pop,2011pop,2012pop,2013pop,2014pop,2015pop,2016pop,2017pop,2018pop,2019pop,2020pop
E02000001,7280,7115,7118,7131,7254,7607,7429,7472,7338,7412,6612,6031,6139,8760,9401,7654,8706,9721,10938
E02000002,6333,6312,6329,6341,6330,6323,6369,6570,6636,6783,6847,7131,7297,7301,7525,7734,7720,7735,7726
E02000003,9236,9252,9155,9072,9144,9227,9564,9914,10042,10088,10172,10437,10589,10810,10951,10962,11051,11174,11246
E02000004,6208,6159,6163,6152,5997,6005,6084,6268,6237,6185,6311,6393,6435,6491,6508,6583,6586,6687,6646
E02000005,7919,7922,7882,7887,7917,7916,8025,8317,8519,8588,8659,9116,9191,9060,9373,10025,10229,10432,10540
E02000007,7806,7726,7771,7820,7877,7974,8145,8394,8571,8823,9080,9449,9624,9415,9670,10168,10123,10048,10076
E02000008,10563,10616,10589,10672,10838,10870,10951,11410,11471,11616,11669,11914,12128,12208,12308,12509,12635,12662,12777
E02000009,8679,8575,8406,8290,8270,8290,8291,8108,8203,8436,8861,9312,9710,10426,10967,11444,11592,11829,11850
E02000010,7826,7772,7647,7647,7623,7912,8121,8468,8627,8680,8868,8847,9117,9132,9128,9206,9197,9204,9141
E02000011,5750,5756,5669,5677,5622,5588,5759,6034,6136,6188,6324,6366,6585,6709,6822,6928,6983,6994,7014
E02000012,7609,7853,7847,7977,8225,8507,8864,9242,9606,9962,10057,10470,10685,10766,10968,11247,11290,11291,11375
E02000013,7661,7648,7542,7565,7513,7643,7789,8124,8263,8432,8487,8591,8639,8792,8880,8861,8899,8948,9009
E02000014,8843,8651,8657,8660,8524,8685,8840,9193,9323,9433,9471,9410,9620,9629,9775,10049,10016,9949,9966
E02000015,6878,6828,6679,6663,6718,6912,7009,7258,7538,7627,7673,7534,7678,7795,7884,8014,8069,8190,8250
E02000016,6044,5816,5790,5730,5433,5511,5844,6229,7133,7818,8250,8226,8436,8892,9522,9818,9944,10021,10320
E02000017,7760,7747,7749,7629,7660,7811,7858,7780,8276,8601,8736,8596,8899,8860,9011,9169,9331,9275,9455
E02000018,7408,7402,7476,7696,7937,7990,8273,8476,8788,8940,9010,9225,9289,9431,9563,9692,9789,9649,9724
E02000019,7461,7415,7260,7257,7328,7405,7668,7911,8185,8337,8452,8765,8922,9079,9202,9191,9148,9174,9208
E02000020,7211,7562,7724,7976,8072,8192,8302,8604,8940,9360,9662,10513,11039,11742,12304,12563,13015,13355,13669
E02000021,7567,7469,7506,7490,7414,7392,7483,7619,7787,7951,8257,8493,8720,8610,8722,8974,8970,8944,9022
E02000022,6690,6826,6912,7196,7484,7659,7899,7980,8554,8873,8990,8827,8547,8655,8746,8637,8354,8183,8030
E02000023,6060,6108,6117,6154,6310,6259,6133,6228,6407,6527,6549,6389,6714,7481,7665,7859,7985,8024,8053
